Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,Latitude,Longitude,Location
12/18/2018,Open - Dup,,18-03387652,Street Lights - All/Out,5400 W MONTROSE AVE,60641,1139555.98169035,1928728.91579394,38,16,15,41.96054222474566,-87.76231575388533,"(41.960542224746, -87.762315753885)"
12/18/2018,Open,,18-03387790,Street Lights - All/Out,7008 S EAST END AVE,60649,1188989.01020213,1858828.4668052,5,3,43,41.76768503396384,-87.58282391280584,"(41.767685033964, -87.582823912806)"
12/18/2018,Open,,18-03387792,Street Lights - All/Out,8100 S PAULINA ST,60620,1166420.07538288,1850988.70430684,21,6,71,41.74668226432492,-87.66577183303308,"(41.746682264325, -87.665771833033)"
12/18/2018,Open,,18-03388097,Street Lights - All/Out,8605 S BISHOP ST,60620,1168167.73418968,1847683.21189484,21,6,71,41.737574139451404,-87.65946281671356,"(41.737574139451, -87.659462816714)"
12/18/2018,Open,,18-03388032,Street Lights - All/Out,7006 W GRACE ST,60634,1128995.71416637,1924459.34298528,38,16,17,41.94901258189393,-87.80123875225084,"(41.949012581894, -87.801238752251)"
12/18/2018,Open,,18-03387713,Street Lights - All/Out,3150 S WESTERN BLVD,60608,1160930.29666675,1883331.50628261,25,9,59,41.835550316939724,-87.68499410896908,"(41.83555031694, -87.684994108969)"
12/18/2018,Open,,18-03387372,Street Lights - All/Out,1708 W 82ND ST,60620,1166351.12533104,1850323.77358967,21,6,71,41.74485906649929,-87.66604337818916,"(41.744859066499, -87.666043378189)"
12/18/2018,Open,,18-03387651,Street Lights - All/Out,5500 N MONITOR AVE,60630,1136212.07617478,1936200.83562452,45,16,11,41.981106345008236,-87.77443059621494,"(41.981106345008, -87.774430596215)"
12/18/2018,Open - Dup,,18-03387616,Street Lights - All/Out,5300 W MONTROSE AVE,60641,1140226.16979736,1928743.80820626,38,16,15,41.96057080937245,-87.75985140823339,"(41.960570809372, -87.759851408233)"
12/18/2018,Open,,18-03387982,Street Lights - All/Out,3200 N AUSTIN AVE,60634,1135828.07112165,1920652.89532124,30,16,17,41.93844814726421,-87.7762146293351,"(41.938448147264, -87.776214629335)"
12/18/2018,Open,,18-03387692,Street Lights - All/Out,6499 S CENTRAL AVE,60638,1140207.1473318,1860896.07011309,13,8,64,41.774387835079175,-87.76158271771267,"(41.774387835079, -87.761582717713)"
12/18/2018,Open,,18-03388534,Street Lights - All/Out,119 W 112TH ST,60628,1177394.48261254,1830688.58542861,34,5,49,41.690735350583914,-87.6261700173846,"(41.690735350584, -87.626170017385)"
12/18/2018,Open,,18-03387703,Street Lights - All/Out,4700 S ROCKWELL ST,60632,1159824.72590644,1873414.56553101,15,9,58,41.80835986922977,-87.68932356854197,"(41.80835986923, -87.689323568542)"
12/18/2018,Open,,18-03387701,Street Lights - All/Out,6345 S KARLOV AVE,60629,1150129.1783,1862154.133075,13,8,65,41.7776533894735,-87.72517710880255,"(41.777653389474, -87.725177108803)"
12/18/2018,Open,,18-03387781,Street Lights - All/Out,12700 S LOWE AVE,60628,1174295.0644088,1820662.31508444,9,5,53,41.66329091907985,-87.63781345972885,"(41.66329091908, -87.637813459729)"
12/18/2018,Open,,18-03387654,Street Lights - All/Out,10800 S EDBROOKE AVE,60628,1179158.75056974,1833386.40750619,9,5,49,41.69809862950913,-87.61962911309777,"(41.698098629509, -87.619629113098)"
12/18/2018,Open,,18-03387714,Street Lights - All/Out,10600 S SANGAMON ST,60643,1171862.27519936,1834536.41667515,34,22,73,41.70141724543087,-87.6463113986227,"(41.701417245431, -87.646311398623)"
12/18/2018,Open - Dup,,18-03387641,Street Lights - All/Out,5400 W MONTROSE AVE,60641,1139555.98169035,1928728.91579394,38,16,15,41.96054222474566,-87.76231575388533,"(41.960542224746, -87.762315753885)"
12/18/2018,Open,,18-03387604,Street Lights - All/Out,5100 W MONTROSE AVE,60641,1141688.19348685,1928775.70669177,45,16,15,41.96063136584124,-87.75447541660387,"(41.960631365841, -87.754475416604)"
