ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ADDRESS,CITY,STATE,ZIP CODE,WARD,PRECINCT,POLICE DISTRICT,LICENSE CODE,LICENSE DESCRIPTION,LICENSE NUMBER,APPLICATION TYPE,PAYMENT DATE,LICENSE TERM START DATE,LICENSE TERM EXPIRATION DATE,DATE ISSUED,LICENSE STATUS,LATITUDE,LONGITUDE,LOCATION
307009,1,"BUONA CATERING, L.L.C.",BEYOND EVENTS,6833 W ROOSEVELT,BERWYN,IL,60402,,,,1481,Caterer's Liquor License,2550238,ISSUE,,08/04/2017,03/15/2019,08/04/2017,AAI,,,
24685,1,"M. L. RESTAURANT & LOUNGE, INC.",RITE LIQUORS,1649 W DIVISION ST ST,CHICAGO,IL,60622,1,2,12,1470,Tavern,3283,RENEW,11/03/2016,11/16/2016,11/15/2018,11/03/2016,AAI,,,
338752,1,ICON PROJECT ROC LLC,OLD TOWN SOCIAL,455 W NORTH AVE,CHICAGO,IL,60610,2,37,18,1475,Consumption on Premises - Incidental Activity,1938880,RENEW,02/10/2016,02/16/2016,02/15/2018,02/11/2016,AAI,41.910972818,-87.640785577,"(41.91097281776573, -87.64078557724434)"
14987,1,UKRAINIAN VILLAGE INC,MR. BROWN'S LOUNGE,2301 W CHICAGO AVE 1ST,CHICAGO,IL,60622,36,6,12,1475,Consumption on Premises - Incidental Activity,35089,RENEW,11/03/2016,11/16/2016,11/15/2018,11/04/2016,AAI,41.895673385,-87.684515538,"(41.8956733853015, -87.68451553845719)"
62544,20,HYATT CORPORATION,HYATT REGENCY MCCORMICK PLACE HOTEL,2233 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,60616,4,6,1,1477,Outdoor Patio,63180,RENEW,08/11/2016,09/16/2016,09/15/2018,08/12/2016,AAI,41.852075574,-87.618850804,"(41.852075574499366, -87.61885080391755)"
311736,2,"LUCKY STRIKE CHICAGO, LLC",LUCKY STRIKE LANES,322 E ILLINOIS ST 2,CHICAGO,IL,60611,2,41,18,1475,Consumption on Premises - Incidental Activity,2354296,RENEW,02/10/2017,03/16/2017,03/15/2019,02/14/2017,AAI,41.891133171,-87.619160207,"(41.891133170854566, -87.61916020704619)"
14839,1,"T AND T MEXICAN RESTAURANT, A CORPORATION",T & T MEXICAN RESTAURANT,8929 S COMMERCIAL AVE,CHICAGO,IL,60617,10,18,4,1475,Consumption on Premises - Incidental Activity,34397,RENEW,07/14/2016,07/16/2016,07/15/2018,07/15/2016,AAI,41.73284708,-87.551176144,"(41.732847079711306, -87.55117614380433)"
14535,1,BRIDGEPORT U.S.A. CORPORATION,POLO CAFE AND CATERING BRIDGEPORT U.S.A.,3322 S MORGAN ST,CHICAGO,IL,60608,11,19,9,1475,Consumption on Premises - Incidental Activity,32541,RENEW,03/16/2017,03/16/2017,03/15/2019,03/16/2017,AAI,41.833618869,-87.651182688,"(41.83361886880686, -87.65118268844637)"
218781,1,"ELPA, INC.",CHICAGO BY NIGHT,5600 W BELMONT AVE 1,CHICAGO,IL,60634,30,16,16,1475,Consumption on Premises - Incidental Activity,1170650,RENEW,10/11/2017,10/16/2017,10/15/2019,10/11/2017,AAI,41.938683775,-87.766562494,"(41.93868377475747, -87.76656249384537)"
210881,8,"SHEFFIELD - WAVELAND ROOFTOPS, INC.",WRIGLEYVILLE ROOFTOPS,1000-1010 W WAVELAND AVE 3,CHICAGO,IL,60613,44,31,19,1480,Wrigley Field,2446541,RENEW,02/13/2017,02/16/2017,11/10/2018,03/14/2017,AAI,41.949152543,-87.654446589,"(41.94915254326036, -87.6544465885995)"
353840,2,MGL-GRAND LLC,YUKI HANA,2918-2920 N CLARK ST,CHICAGO,IL,60657,44,45,19,1050,Public Place of Amusement,2293665,RENEW,01/16/2017,02/16/2017,02/15/2019,01/20/2017,AAI,41.935286831,-87.647072469,"(41.93528683052736, -87.64707246891297)"
86298,11,"WHOLE FOODS MARKET GROUP, INC.",WHOLE FOODS MARKET,1550 N KINGSBURY ST,CHICAGO,IL,60642,27,46,18,1475,Consumption on Premises - Incidental Activity,1933692,RENEW,01/10/2017,02/16/2017,02/15/2019,01/11/2017,AAI,41.909398788,-87.653050698,"(41.90939878780941, -87.65305069789407)"
230,1,NORTH STAR INN CORP.,HOPSMITH TAVERN,15 W DIVISION ST 1 AND 2,CHICAGO,IL,60610,2,36,18,1471,Late Hour,1198,RENEW,04/27/2016,05/16/2016,05/15/2018,05/03/2016,AAI,41.903820879,-87.62932853,"(41.90382087918895, -87.62932852980815)"
51551,2,"R & V, INC.",RUNAROUND SUE,9 W DIVISION ST  1,CHICAGO,IL,60610,2,36,18,1470,Tavern,14821,RENEW,05/06/2016,05/16/2016,05/15/2018,05/09/2016,AAI,41.903825309,-87.629076389,"(41.9038253091784, -87.62907638861904)"
421868,1,DOLLOP ROOSEVELT LLC,DOLLOP COFFEE CO.,801 S FINANCIAL PL 1 F,CHICAGO,IL,60605,34,1,1,1475,Consumption on Premises - Incidental Activity,2560192,ISSUE,10/03/2017,04/24/2018,07/15/2021,04/24/2018,AAI,41.872102297,-87.632797134,"(41.87210229663722, -87.6327971339645)"
345494,1,"MILLIE'S TAVERN, INC.",MILLIE'S,1817 W WELLINGTON AVE 1ST,CHICAGO,IL,60657,32,41,19,1470,Tavern,1984951,RENEW,02/08/2017,02/16/2017,02/15/2019,02/09/2017,AAI,41.935865854,-87.674338538,"(41.935865854231174, -87.67433853837197)"
282651,2,"PREMIER ENTERTAINMENT GROUP OF ILLINOIS, INC.",CITIZEN,364 W ERIE ST 1,CHICAGO,IL,60610,42,68,18,1477,Outdoor Patio,1598223,RENEW,02/01/2016,02/16/2016,02/15/2018,02/02/2016,AAI,41.894047668,-87.638202043,"(41.89404766848803, -87.63820204272278)"
353272,1,JITSUO LLC,ARAMI,1829 W CHICAGO AVE 1,CHICAGO,IL,60622,36,23,12,1475,Consumption on Premises - Incidental Activity,2050112,RENEW,07/16/2018,07/16/2018,07/15/2020,07/17/2018,AAI,41.895861955,-87.673351036,"(41.89586195493881, -87.67335103601313)"
391703,1,STK CHICAGO LLC,STK CHICAGO,9 W KINZIE ST 1ST,CHICAGO,IL,60654,42,27,18,1050,Public Place of Amusement,2341540,RENEW,09/29/2017,10/16/2017,10/15/2019,10/13/2017,AAI,41.889137271,-87.62843006,"(41.88913727056584, -87.62843005984261)"
11393,1,NAL / VAR INC.,LOCAL MOTION,10011 S COMMERCIAL AVE 1,CHICAGO,IL,60617,10,7,4,1470,Tavern,27882,RENEW,07/11/2016,07/16/2016,07/15/2018,07/12/2016,AAI,41.71298081,-87.55090659,"(41.712980809812755, -87.55090659047397)"
392313,1,"BAR-ISTA, LLC",REVIVAL SOCIAL CLUB,1133 W GRANVILLE AVE,CHICAGO,IL,60660,48,31,24,1475,Consumption on Premises - Incidental Activity,2349240,RENEW,11/08/2016,11/16/2016,11/15/2018,11/09/2016,AAI,41.994450032,-87.659693793,"(41.99445003239287, -87.6596937931052)"
14535,1,BRIDGEPORT U.S.A. CORPORATION,POLO CAFE AND CATERING BRIDGEPORT U.S.A.,3322 S MORGAN ST,CHICAGO,IL,60608,11,19,9,1481,Caterer's Liquor License,1333841,RENEW,03/16/2017,03/16/2017,03/15/2019,03/16/2017,AAI,41.833618869,-87.651182688,"(41.83361886880686, -87.65118268844637)"
4083,1,"MACIAS ENTERPRISES, INC.",CARNICERIA AGUASCALIENTES,3132 W 26TH ST 1,CHICAGO,IL,60623,25,15,10,1475,Consumption on Premises - Incidental Activity,1984918,RENEW,08/15/2018,08/16/2018,10/15/2020,08/15/2018,AAI,41.844640004,-87.70387455,"(41.84464000358168, -87.70387454997125)"
48210,2,"MAESTRO WORLD IMPORT, LTD.",CAFE PRAGUE,6710-6712 W BELMONT AVE 1,CHICAGO,IL,60634,38,13,16,1475,Consumption on Premises - Incidental Activity,1820058,RENEW,10/20/2017,10/16/2017,10/15/2019,10/20/2017,AAI,41.938301332,-87.793740718,"(41.938301331832676, -87.79374071818236)"
400111,1,"948 ARMITAGE AN2, LLC",UPRISING WOOD FIRED PIZZA CAFE,948 W ARMITAGE AVE 1ST,CHICAGO,IL,60614,43,11,18,1475,Consumption on Premises - Incidental Activity,2418360,ISSUE,10/23/2015,02/04/2016,02/15/2018,02/04/2016,AAI,41.918222369,-87.652888911,"(41.91822236870298, -87.65288891075613)"
295045,1,"POPS FOR CHAMPAGNE LTD., LLC",POPS FOR CHAMPAGNE,601-605 N STATE ST 1,CHICAGO,IL,60654,42,22,18,1050,Public Place of Amusement,1620706,RENEW,02/16/2016,02/16/2016,02/15/2018,11/16/2016,AAI,41.892517293,-87.627949718,"(41.89251729286969, -87.62794971765776)"
8970,49,"COMPASS GROUP USA, INC.",CHARTWELL'S DINING,2250 N SHEFFIELD AVE,CHICAGO,IL,60614,43,49,18,1475,Consumption on Premises - Incidental Activity,1248855,RENEW,03/09/2018,04/16/2018,04/15/2020,03/13/2018,AAI,41.923236866,-87.653685429,"(41.92323686568482, -87.65368542924351)"
15189,2,"FAB 4, INC.",TOBACCO ROAD TAP ROOM,2249 N LINCOLN AVE 1-2,CHICAGO,IL,60614,43,29,18,1050,Public Place of Amusement,2487807,ISSUE,01/03/2017,07/27/2018,07/15/2021,07/27/2018,AAI,41.923067781,-87.645225321,"(41.92306778137144, -87.64522532067684)"
404480,1,"CH FOOD & DRINK, INC.",THE STOPALONG,1812 N MILWAUKEE AVE,CHICAGO,IL,60647,32,31,14,1475,Consumption on Premises - Incidental Activity,2452081,ISSUE,05/06/2016,08/16/2016,09/15/2018,08/16/2016,AAI,41.914261446,-87.683686046,"(41.914261446310334, -87.68368604555803)"
284627,1,CCES Chicago LLC,Embassy Suites Hotel,511 N COLUMBUS DR,CHICAGO,IL,60611,2,26,18,1475,Consumption on Premises - Incidental Activity,1546514,RENEW,02/22/2017,03/16/2017,03/15/2019,02/23/2017,AAI,41.891404881,-87.62008123,"(41.8914048806943, -87.62008122973772)"
405708,1,"700 N. SEDGWICK RESTAURANT, LLC",GRAND POOBAH,700 N SEDGWICK ST,CHICAGO,IL,60654,42,68,18,1475,Consumption on Premises - Incidental Activity,2463267,ISSUE,10/11/2016,10/19/2017,11/15/2019,10/19/2017,AAI,41.894773558,-87.638688377,"(41.89477355795788, -87.63868837700508)"
202009,1,"VINCE'S PIZZA, INC",VINCE'S PIZZA,6217 W 63RD ST,CHICAGO,IL,60638,13,39,8,1475,Consumption on Premises - Incidental Activity,1042911,RENEW,01/02/2016,01/16/2016,01/15/2018,01/04/2016,AAI,41.777645377,-87.777065958,"(41.77764537687134, -87.77706595836504)"
268756,1,"S 2733, INC.",CASEY'S CORNER,2733 W DEVON AVE 1ST,CHICAGO,IL,60659,50,26,24,1470,Tavern,1444569,RENEW,02/07/2017,02/16/2017,02/15/2019,02/08/2017,AAI,41.997469545,-87.69848682,"(41.997469544827794, -87.69848682019041)"
399843,1,VPC BELMONT PIZZA LLC,GIORDANO'S ON BELMONT,1036-1040 W BELMONT AVE,CHICAGO,IL,60657,44,39,19,1475,Consumption on Premises - Incidental Activity,2412588,ISSUE,10/27/2015,02/01/2016,02/15/2018,02/01/2016,AAI,41.939998357,-87.655553822,"(41.939998356700194, -87.65555382180153)"
216264,1,"MAC ONE, INC.",HARRY CARAY'S SEVENTH INNING STRETCH,5700 S CICERO AVE TC19,CHICAGO,IL,60638,13,8,8,1475,Consumption on Premises - Incidental Activity,1168852,RENEW,01/13/2016,01/16/2016,01/15/2018,01/13/2016,AAI,41.789329323,-87.741645644,"(41.789329323265385, -87.74164564419637)"
